year_film,year_ceremony,ceremony,category,name,film,winner
2022,2023,95,ACTOR IN A LEADING ROLE,Austin Butler,Elvis,FALSE
2022,2023,95,ACTOR IN A LEADING ROLE,Colin Farrell,The Banshees of Inisherin,FALSE
2022,2023,95,ACTOR IN A LEADING ROLE,Brendan Fraser,The Whale,TRUE
2022,2023,95,ACTOR IN A LEADING ROLE,Paul Mescal,Aftersun,FALSE
2022,2023,95,ACTOR IN A LEADING ROLE,Bill Nighy,Living,FALSE
2022,2023,95,ACTOR IN A SUPPORTING ROLE,Brendan Gleeson,The Banshees of Inisherin,FALSE
2022,2023,95,ACTOR IN A SUPPORTING ROLE,Brian Tyree Henry,Causeway,FALSE
2022,2023,95,ACTOR IN A SUPPORTING ROLE,Judd Hirsch,The Fabelmans,FALSE
2022,2023,95,ACTOR IN A SUPPORTING ROLE,Barry Keoghan,The Banshees of Inisherin,FALSE
2022,2023,95,ACTOR IN A SUPPORTING ROLE,Ke Huy Quan,Everything Everywhere All at Once,TRUE
2022,2023,95,ACTRESS IN A LEADING ROLE,Cate Blanchett,Tár,FALSE
2022,2023,95,ACTRESS IN A LEADING ROLE,Ana de Armas,Blonde,FALSE
2022,2023,95,ACTRESS IN A LEADING ROLE,Andrea Riseborough,To Leslie,FALSE
2022,2023,95,ACTRESS IN A LEADING ROLE,Michelle Williams,The Fabelmans,FALSE
2022,2023,95,ACTRESS IN A LEADING ROLE,Michelle Yeoh,Everything Everywhere All at Once,TRUE
2022,2023,95,ACTRESS IN A SUPPORTING ROLE,Angela Bassett,Black Panther: Wakanda Forever,FALSE
2022,2023,95,ACTRESS IN A SUPPORTING ROLE,Hong Chau,The Whale,FALSE
2022,2023,95,ACTRESS IN A SUPPORTING ROLE,Kerry Condon,The Banshees of Inisherin,FALSE
2022,2023,95,ACTRESS IN A SUPPORTING ROLE,Jamie Lee Curtis,Everything Everywhere All at Once,TRUE
2022,2023,95,ACTRESS IN A SUPPORTING ROLE,Stephanie Hsu,Everything Everywhere All at Once,FALSE
2022,2023,95,ANIMATED FEATURE FILM,"Guillermo del Toro, Mark Gustafson, Gary Ungar and Alex Bulkley",Guillermo del Toro's Pinocchio,TRUE
2022,2023,95,ANIMATED FEATURE FILM,"Dean Fleischer Camp, Elisabeth Holm, Andrew Goldman, Caroline Kaplan and Paul Mezey",Marcel the Shell with Shoes On,FALSE
2022,2023,95,ANIMATED FEATURE FILM,Joel Crawford and Mark Swift,Puss in Boots: The Last Wish,FALSE
2022,2023,95,ANIMATED FEATURE FILM,Chris Williams and Jed Schlanger,The Sea Beast,FALSE
2022,2023,95,ANIMATED FEATURE FILM,Domee Shi and Lindsey Collins,Turning Red,FALSE
2022,2023,95,CINEMATOGRAPHY,James Friend,All Quiet on the Western Front,TRUE
2022,2023,95,CINEMATOGRAPHY,Darius Khondji,"Bardo, False Chronicle of a Handful of Truths",FALSE
2022,2023,95,CINEMATOGRAPHY,Mandy Walker,Elvis,FALSE
2022,2023,95,CINEMATOGRAPHY,Roger Deakins,Empire of Light,FALSE
2022,2023,95,CINEMATOGRAPHY,Florian Hoffmeister,Tár,FALSE
2022,2023,95,COSTUME DESIGN,Mary Zophres,Babylon,FALSE
2022,2023,95,COSTUME DESIGN,Ruth Carter,Black Panther: Wakanda Forever,TRUE
2022,2023,95,COSTUME DESIGN,Catherine Martin,Elvis,FALSE
2022,2023,95,COSTUME DESIGN,Shirley Kurata,Everything Everywhere All at Once,FALSE
2022,2023,95,COSTUME DESIGN,Jenny Beavan,Mrs. Harris Goes to Paris,FALSE
2022,2023,95,DIRECTING,Martin McDonagh,The Banshees of Inisherin,FALSE
2022,2023,95,DIRECTING,Daniel Kwan and Daniel Scheinert,Everything Everywhere All at Once,TRUE
2022,2023,95,DIRECTING,Steven Spielberg,The Fabelmans,FALSE
2022,2023,95,DIRECTING,Todd Field,Tár,FALSE
2022,2023,95,DIRECTING,Ruben Östlund,Triangle of Sadness,FALSE
2022,2023,95,DOCUMENTARY FEATURE FILM,"Shaunak Sen, Aman Mann and Teddy Leifer",All That Breathes,FALSE
2022,2023,95,DOCUMENTARY FEATURE FILM,"Laura Poitras, Howard Gertler, John Lyons, Nan Goldin and Yoni Golijov",All the Beauty and the Bloodshed,FALSE
2022,2023,95,DOCUMENTARY FEATURE FILM,"Sara Dosa, Shane Boris and Ina Fichman",Fire of Love,FALSE
2022,2023,95,DOCUMENTARY FEATURE FILM,Simon Lereng Wilmont and Monica Hellström,A House Made of Splinters,FALSE
2022,2023,95,DOCUMENTARY FEATURE FILM,"Daniel Roher, Odessa Rae, Diane Becker, Melanie Miller and Shane Boris",Navalny,TRUE
